ward_id,household_count,income_range_in_thousands,avg_hh_size
214502,121,0-10,4
214503,162,10-20,5
214504,125,0-10,5
214505,144,10-20,7
214506,61,10-20,6
214507,141,20-30,6
214508,162,10-20,5
214509,226,10-20,4
214601,76,0-10,4
214602,93,0-10,4
214603,101,0-10,5
214604,87,0-10,4
214605,144,0-10,5
214606,137,0-10,6
214607,92,0-10,5
214608,117,0-10,5
214609,99,0-10,6
214701,125,0-10,5
214702,135,0-10,5
214703,99,0-10,6
214704,182,0-10,5
214705,119,0-10,5
214706,68,0-10,5
214707,139,0-10,4
214708,213,0-10,4
214709,209,0-10,5
214801,143,0-10,5
214802,58,0-10,6
214803,98,0-10,5
214804,123,0-10,5
214805,39,0-10,6
214806,73,0-10,6
214807,60,0-10,6
214808,89,0-10,5
214809,93,0-10,5
214901,117,0-10,7
214902,110,0-10,6
214903,88,0-10,5
214904,108,0-10,6
214905,161,0-10,5
214906,119,0-10,6
214907,130,0-10,6
214908,133,0-10,5
214909,99,0-10,6
215001,112,0-10,5
215002,63,0-10,5
215003,105,0-10,6
215004,47,0-10,7
215005,57,0-10,7
215006,52,0-10,6
215007,29,0-10,6
215008,105,0-10,5
215009,61,0-10,6
215101,111,0-10,7
215102,79,0-10,6
215103,63,0-10,6
215104,66,0-10,6
215105,104,0-10,5
215106,104,10-20,6
215107,127,10-20,6
215108,115,10-20,6
215109,132,10-20,5
215201,92,0-10,5
215202,79,0-10,5
215203,67,10-20,5
215204,69,10-20,5
215205,66,10-20,5
215206,80,10-20,6
215207,81,0-10,4
215208,73,10-20,5
215209,79,10-20,5
215301,98,0-10,5
215302,69,0-10,4
215303,82,0-10,5
215304,75,10-20,5
215305,59,10-20,5
215306,52,10-20,5
215307,82,20-30,5
215308,69,0-10,5
215309,91,0-10,5
215401,160,0-10,5
215402,182,0-10,5
215403,150,0-10,5
215404,134,0-10,4
215405,168,0-10,5
215406,114,0-10,4
215407,146,0-10,5
215408,151,0-10,4
215409,148,0-10,4
215501,59,0-10,5
215502,70,0-10,6
215503,38,0-10,4
215504,117,0-10,5
215505,89,0-10,4
215506,45,0-10,3
215507,152,10-20,6
215508,183,10-20,5
215509,127,10-20,5
220101,61,0-10,4
220102,134,0-10,4
220103,77,0-10,4
220104,54,0-10,4
220105,98,0-10,4
220106,53,0-10,4
220107,43,10-20,4
220108,85,0-10,4
220109,66,0-10,4
220201,142,0-10,4
220202,173,0-10,4
220203,138,10-20,5
220204,213,10-20,5
220205,96,10-20,4
220206,106,0-10,5
220207,106,10-20,4
220208,90,10-20,4
220209,162,10-20,4
220301,191,0-10,3
220302,218,0-10,3
220303,199,0-10,3
220304,260,0-10,4
220305,193,0-10,3
220306,158,0-10,4
220307,146,0-10,4
220308,302,10-20,4
220309,147,0-10,4
220401,969,10-20,3
220402,589,0-10,4
220403,386,10-20,4
220404,656,10-20,3
220405,399,10-20,4
220406,649,0-10,3
220407,484,10-20,4
220408,602,10-20,4
220409,551,10-20,4
220410,1016,10-20,4
220411,611,0-10,3
220412,454,0-10,3
220413,527,0-10,4
220501,102,0-10,4
220502,110,10-20,4
220503,93,0-10,4
220504,97,0-10,4
220505,114,0-10,4
220506,154,10-20,4
220507,78,10-20,4
220508,91,10-20,3
220509,177,10-20,3
220602,125,10-20,5
220603,43,0-10,5
220604,48,0-10,6
220605,132,20-30,4
220606,175,20-30,4
220607,130,20-30,4
220608,134,10-20,5
220609,167,10-20,5
220701,176,10-20,3
220702,66,10-20,4
220703,94,0-10,4
220704,69,0-10,4
220705,48,0-10,4
220706,64,0-10,4
220707,93,0-10,4
220708,126,0-10,4
220709,60,0-10,4
220801,177,10-20,4
220802,97,10-20,4
220803,170,10-20,4
220804,106,10-20,4
220805,202,10-20,4
220806,165,10-20,4
220807,166,20-30,4
220808,135,10-20,4
220809,159,10-20,4
220901,83,0-10,5
220902,90,0-10,4
220903,105,0-10,4
220904,102,0-10,4
220905,101,0-10,4
220906,70,0-10,4
220907,111,0-10,4
220908,59,0-10,4
220909,66,0-10,4
221001,50,10-20,4
221002,57,10-20,5
221003,54,10-20,4
221004,43,0-10,5
221005,69,10-20,4
221006,98,10-20,4
221007,36,10-20,4
221008,40,10-20,4
221009,55,10-20,4
221101,137,0-10,4
221102,107,0-10,4
221103,49,0-10,3
221104,118,0-10,3
221105,74,0-10,3
221106,67,0-10,3
221107,72,0-10,4
221108,148,0-10,4
221109,147,0-10,4
221201,137,0-10,4
221202,99,0-10,4
221203,97,0-10,5
221204,141,0-10,5
221205,76,0-10,5
221206,129,0-10,5
221207,88,0-10,5
221208,88,0-10,5
221209,101,0-10,4
221301,101,0-10,4
221302,115,0-10,4
221303,101,0-10,4
221304,110,0-10,4
221305,89,0-10,4
221306,87,0-10,4
221307,123,0-10,4
221308,92,0-10,4
221309,88,0-10,4
221401,190,0-10,5
221402,200,0-10,4
221403,148,0-10,4
221404,165,0-10,4
221405,174,0-10,5
221406,80,0-10,5
221407,164,0-10,4
221408,192,0-10,4
221409,189,0-10,4
221501,158,10-20,4
221502,177,10-20,5
221503,140,20-30,6
221504,97,0-10,4
221505,78,0-10,4
221506,53,0-10,5
221507,111,0-10,5
221508,61,0-10,5
221509,103,0-10,4
221601,295,0-10,4
221602,205,10-20,4
221603,181,0-10,3
221604,188,10-20,4
221605,94,0-10,4
221606,159,10-20,4
221607,146,10-20,5
221608,257,0-10,4
221609,306,10-20,4
221701,289,0-10,4
221702,177,10-20,4
221703,217,10-20,4
221704,191,10-20,4
221705,214,10-20,3
221706,164,0-10,3
221707,185,0-10,3
221708,264,10-20,4
221709,228,0-10,4
221801,79,10-20,4
221802,51,0-10,4
221803,39,0-10,4
221804,81,0-10,4
221805,40,0-10,4
221806,54,10-20,4
221807,35,20-30,4
221808,56,0-10,4
221809,65,10-20,4
221901,279,0-10,4
221902,172,10-20,4
221903,153,10-20,4
221904,177,10-20,4
221905,255,10-20,4
221906,163,0-10,5
221907,172,0-10,5
221908,141,10-20,4
221909,144,10-20,4
222001,71,0-10,5
222002,45,0-10,5
222003,48,0-10,5
222004,58,10-20,5
222005,55,10-20,5
222006,44,0-10,5
222007,100,0-10,5
222008,44,0-10,4
222009,57,0-10,4
222101,172,0-10,4
222102,201,0-10,4
222103,96,10-20,4
222104,141,0-10,4
222105,86,10-20,4
222106,119,10-20,4
222107,165,10-20,4
222108,187,0-10,4
222109,173,10-20,4
222201,74,0-10,4
222202,94,0-10,4
222203,101,10-20,4
222204,123,0-10,4
222205,102,10-20,4
222206,104,0-10,4
222207,110,10-20,4
222208,101,0-10,4
222209,138,0-10,4
222301,250,0-10,5
222302,173,0-10,5
222303,106,0-10,4
222304,155,0-10,4
222305,180,0-10,5
222306,136,0-10,4
222307,126,0-10,4
222308,97,0-10,4
222309,195,0-10,4
222401,207,0-10,4
222402,195,0-10,4
222403,243,0-10,4
222404,151,0-10,4
222405,310,0-10,4
222406,259,0-10,4
222407,430,10-20,4
222408,313,0-10,4
222409,356,0-10,4
222501,217,0-10,4
222502,147,0-10,4
222503,133,0-10,4
222504,197,10-20,4
222505,181,10-20,4
222506,122,0-10,4
222507,111,10-20,4
222508,227,10-20,4
222509,124,10-20,5
222601,126,10-20,4
222602,144,0-10,4
222603,280,10-20,4
222604,289,10-20,4
222605,237,10-20,4
222606,334,10-20,4
222607,168,20-30,4
222608,167,20-30,4
222609,114,10-20,4
222701,87,0-10,5
222702,52,0-10,5
222703,60,0-10,4
222704,106,0-10,5
222705,69,0-10,4
222706,81,0-10,3
222707,97,0-10,4
222708,88,0-10,5
222709,138,0-10,5
222801,359,10-20,4
222802,270,0-10,4
222803,112,10-20,3
222804,133,0-10,4
222805,102,0-10,4
222806,274,0-10,3
222807,255,0-10,4
222808,296,0-10,4
222809,87,10-20,3
222901,94,0-10,4
222902,78,0-10,3
222903,95,0-10,4
222904,71,0-10,4
222905,58,0-10,5
222906,34,10-20,4
222907,58,10-20,3
222908,84,10-20,4
222909,49,20-30,4
223001,222,0-10,5
223002,99,0-10,4
223003,80,0-10,4
223004,46,0-10,4
223005,56,0-10,4
223006,58,0-10,4
223007,48,0-10,4
223008,67,0-10,4
223009,45,0-10,5
223101,105,0-10,5
223102,82,0-10,5
223103,81,0-10,5
223104,101,0-10,5
223105,143,0-10,4
223106,99,0-10,5
223107,208,0-10,4
223108,268,0-10,4
223109,114,0-10,4
223201,107,10-20,4
223202,90,10-20,4
223203,97,0-10,4
223204,250,0-10,4
223205,158,10-20,4
223206,190,10-20,4
223207,176,10-20,4
223208,330,10-20,4
223209,255,10-20,4
223301,50,0-10,3
223302,47,0-10,3
223303,51,0-10,4
223304,73,0-10,3
223305,72,0-10,4
223306,84,0-10,4
223307,114,0-10,4
223308,118,0-10,3
223309,80,0-10,3
223401,121,0-10,4
223402,131,0-10,4
223403,186,0-10,4
223404,207,10-20,4
223405,319,10-20,4
223406,202,10-20,4
223407,163,10-20,4
223408,166,0-10,4
223409,152,0-10,4
223501,173,0-10,4
223502,183,0-10,4
223503,265,0-10,4
223504,224,10-20,4
223505,291,0-10,4
223506,152,0-10,4
223507,135,0-10,4
223508,232,0-10,4
223509,165,0-10,4
223601,250,0-10,4
223602,298,0-10,4
223603,112,0-10,4
223604,150,0-10,4
223605,130,0-10,4
223606,106,0-10,4
223607,137,0-10,4
223608,90,0-10,4
223609,90,0-10,4
223701,168,0-10,4
223702,128,10-20,4
223703,89,10-20,4
223704,48,10-20,4
223705,114,10-20,4
223706,171,10-20,4
223707,157,10-20,5
223708,179,10-20,4
223709,95,10-20,4
223801,156,0-10,4
223802,134,0-10,4
223803,125,0-10,5
223804,96,0-10,4
223805,76,10-20,4
223806,97,10-20,4
223807,69,0-10,4
223808,97,0-10,4
223809,86,0-10,4
223901,92,10-20,4
223902,61,10-20,4
223903,40,10-20,4
223904,29,0-10,5
223905,62,10-20,5
223906,55,10-20,4
223907,72,10-20,5
223908,35,20-30,5
223909,31,20-30,5
224001,126,0-10,4
224002,190,10-20,4
224003,101,0-10,4
224004,96,0-10,4
224005,214,10-20,5
224006,104,0-10,5
224007,124,0-10,5
224008,197,0-10,5
224009,141,0-10,5
224101,166,0-10,4
224102,251,0-10,4
224103,94,0-10,4
224104,204,10-20,4
224105,98,10-20,4
224106,115,10-20,4
224107,112,0-10,3
224108,171,0-10,4
224109,115,0-10,4
224201,317,10-20,3
224202,196,0-10,3
224203,325,10-20,4
224204,385,0-10,3
224205,277,0-10,3
224206,254,10-20,4
224207,170,0-10,3
224208,336,0-10,3
224209,184,0-10,3
224301,83,0-10,5
224302,27,0-10,6
224303,72,0-10,5
224304,69,0-10,6
224305,75,0-10,4
224306,67,0-10,4
224307,108,0-10,4
224308,83,0-10,4
224309,43,0-10,6
224401,165,0-10,5
224402,253,0-10,5
224403,181,0-10,5
224404,96,0-10,4
224405,179,0-10,4
224406,188,0-10,5
224407,153,10-20,4
224408,153,10-20,4
224409,283,10-20,4
224501,188,0-10,4
224502,95,0-10,4
224503,81,0-10,4
224504,156,0-10,4
224505,159,10-20,4
224506,96,0-10,4
224507,78,0-10,4
224508,149,0-10,4
224509,71,0-10,4
224601,228,0-10,4
224602,198,0-10,4
224603,123,0-10,4
224604,168,0-10,5
224605,167,0-10,4
224606,112,0-10,4
224607,133,0-10,3
224608,159,10-20,4
224609,168,10-20,4
224701,137,0-10,3
224702,304,0-10,4
224703,250,0-10,4
224704,358,10-20,4
224705,198,10-20,4
224706,150,10-20,3
224707,149,10-20,4
224708,103,0-10,4
224709,267,0-10,4
224801,133,0-10,4
224802,126,10-20,4
224803,88,20-30,4
224804,75,0-10,4
224805,125,10-20,4
224806,159,10-20,4
224807,100,10-20,4
224808,125,10-20,4
224809,178,0-10,4
224901,82,0-10,4
224902,103,0-10,4
224903,78,0-10,5
224904,95,0-10,5
224905,104,0-10,4
224906,117,10-20,4
224907,159,0-10,4
224908,90,0-10,4
224909,237,0-10,4
225001,131,0-10,4
225002,107,10-20,4
225003,142,10-20,4
225004,192,0-10,4
225005,215,0-10,4
225006,182,0-10,4
225007,136,10-20,4
225008,134,10-20,4
225009,152,10-20,4
225101,85,0-10,5
225102,82,0-10,4
225103,90,0-10,3
225104,50,10-20,5
225105,86,0-10,4
225106,86,0-10,4
225107,93,0-10,4
225108,80,0-10,4
225109,93,0-10,4
225201,168,0-10,4
225202,135,10-20,4
225203,163,10-20,4
225204,171,0-10,4
225205,227,0-10,4
225206,91,0-10,4
225207,102,0-10,5
225208,62,0-10,5
225209,116,0-10,4
230101,70,0-10,5
230102,41,0-10,5
230103,64,0-10,5
230104,116,10-20,5
230105,47,0-10,5
230106,49,0-10,5
230107,50,0-10,4
230108,201,0-10,4
230109,101,0-10,4
230201,186,0-10,5
230202,178,0-10,5
230203,183,0-10,6
230204,250,10-20,5
230205,100,0-10,6
230206,236,0-10,5
230207,71,0-10,6
230208,185,0-10,5
230209,136,0-10,6
230301,95,10-20,6
230302,230,10-20,4
230303,74,10-20,4
230304,181,10-20,5
230305,228,10-20,4
230306,177,0-10,4
230307,84,10-20,4
230308,149,0-10,6
230309,201,0-10,5
230401,35,10-20,5
230402,39,10-20,5
230403,53,10-20,5
230404,71,10-20,5
230405,148,0-10,4
230406,182,0-10,4
230407,64,0-10,5
230408,140,0-10,4
230409,135,0-10,4
230501,98,0-10,4
230502,151,0-10,4
230503,94,0-10,5
230504,127,0-10,5
230505,76,0-10,5
230506,67,0-10,5
230507,85,0-10,5
230508,85,0-10,5
230509,155,0-10,5
230601,355,10-20,4
230602,199,10-20,4
230603,183,0-10,4
230604,565,0-10,4
230605,253,0-10,4
230606,266,0-10,4
230607,150,10-20,4
230608,168,10-20,4
230609,180,10-20,4
230701,195,0-10,5
230702,104,10-20,6
230703,120,0-10,5
230704,48,0-10,5
230705,70,0-10,6
230706,75,20-30,5
230707,93,0-10,5
230708,111,0-10,5
230709,66,10-20,5
230801,201,0-10,5
230802,114,0-10,5
230803,198,0-10,4
230804,215,0-10,5
230805,67,0-10,5
230806,148,0-10,5
230807,85,0-10,6
230808,197,0-10,5
230809,250,0-10,5
230901,329,10-20,5
230902,164,10-20,4
230903,136,10-20,5
230904,179,10-20,5
230905,121,10-20,5
230906,53,10-20,5
230907,45,10-20,5
230908,97,10-20,4
230909,181,10-20,5
231001,222,0-10,5
231002,69,10-20,6
231003,111,10-20,5
231004,109,10-20,6
231005,281,10-20,5
231006,72,10-20,5
231007,81,10-20,5
231008,278,0-10,5
231009,141,10-20,6
231101,145,0-10,4
231102,196,0-10,4
231103,95,0-10,4
231104,111,0-10,4
231105,209,0-10,4
231106,78,0-10,4
231107,141,0-10,4
231108,140,10-20,4
231109,255,10-20,4
231201,286,0-10,5
231202,603,0-10,5
231203,105,10-20,5
231204,133,10-20,4
231205,186,0-10,5
231206,66,10-20,4
231207,159,10-20,5
231208,61,10-20,5
231209,41,10-20,5
231301,31,0-10,6
231302,53,0-10,5
231303,115,0-10,5
231304,140,0-10,4
231305,127,0-10,4
231306,126,0-10,4
231307,84,0-10,5
231308,64,0-10,4
231309,69,0-10,4
231401,150,10-20,4
231402,117,10-20,4
231403,38,10-20,4
231404,142,10-20,4
231405,133,10-20,5
231406,98,10-20,4
231407,143,10-20,4
231408,472,10-20,4
231409,159,0-10,4
231501,182,0-10,5
231502,56,0-10,5
231503,72,0-10,5
231504,91,0-10,5
231505,93,0-10,4
231506,95,0-10,6
231507,413,20-30,4
231508,150,20-30,5
231509,70,0-10,5
231601,155,0-10,4
231602,118,0-10,5
231603,252,0-10,4
231604,188,0-10,4
231605,205,0-10,4
231606,292,0-10,5
231607,175,0-10,4
231608,214,0-10,4
231609,385,0-10,4
231701,84,0-10,5
231702,222,0-10,5
231703,67,0-10,5
231704,79,0-10,5
231705,283,0-10,5
231706,24,0-10,6
231707,41,0-10,5
231708,296,0-10,5
231709,64,0-10,5
231801,108,10-20,5
231802,139,10-20,4
231803,172,10-20,5
231804,155,0-10,5
231805,291,10-20,4
231806,204,0-10,5
231807,152,20-30,4
231808,176,10-20,4
231809,135,20-30,6
231901,178,0-10,5
231902,62,0-10,5
231903,51,10-20,4
231904,199,0-10,5
231905,70,0-10,5
231906,149,10-20,5
231907,106,10-20,6
231908,186,10-20,5
231909,86,10-20,4
232001,117,0-10,4
232002,147,0-10,5
232003,116,0-10,5
232004,125,0-10,5
232005,165,0-10,4
232006,285,0-10,5
232007,105,0-10,4
232008,106,0-10,5
232009,115,0-10,5
232101,151,0-10,4
232102,163,10-20,4
232103,120,10-20,4
232104,149,0-10,4
232105,97,0-10,5
232106,101,0-10,5
232107,194,10-20,5
232108,114,10-20,4
232109,213,0-10,5
232201,92,0-10,5
232202,66,0-10,4
232203,73,0-10,4
232204,85,0-10,4
232205,69,0-10,4
232206,69,0-10,4
232207,69,0-10,4
232208,49,0-10,4
232209,85,0-10,4
232301,126,0-10,4
232302,143,10-20,5
232303,143,10-20,4
232304,179,10-20,4
232305,85,0-10,5
232306,88,0-10,4
232307,132,0-10,4
232308,117,0-10,4
232309,63,0-10,4
232401,196,0-10,5
232402,156,0-10,4
232403,153,0-10,6
232404,58,0-10,6
232405,72,0-10,6
232406,139,0-10,5
232407,98,0-10,5
232408,64,0-10,7
232409,151,0-10,4
232501,76,0-10,6
232502,38,0-10,6
232503,81,0-10,5
232504,83,0-10,5
232505,130,0-10,6
232506,99,0-10,6
232507,93,0-10,6
232508,181,0-10,5
232509,142,10-20,5
232601,66,0-10,5
232602,101,0-10,5
232603,90,0-10,5
232604,82,0-10,5
232605,102,0-10,5
232606,41,0-10,5
232607,59,0-10,5
232608,82,0-10,5
232609,26,0-10,6
232701,121,0-10,5
232702,67,0-10,5
232703,131,0-10,5
232704,60,0-10,5
232705,190,0-10,6
232706,103,10-20,5
232707,227,10-20,4
232708,150,10-20,4
232709,137,0-10,5
232801,43,0-10,4
232802,64,0-10,4
232803,119,0-10,4
232804,45,0-10,4
232805,126,10-20,5
232806,115,10-20,5
232807,97,10-20,5
232808,64,0-10,4
232809,102,0-10,5
232901,198,0-10,5
232902,33,0-10,6
232903,46,0-10,4
232904,25,0-10,3
232905,28,0-10,4
232906,216,0-10,5
232907,152,0-10,5
232908,85,10-20,5
232909,44,10-20,7
233001,82,10-20,5
233002,193,0-10,6
233003,165,0-10,5
233004,158,10-20,5
233005,116,10-20,5
233006,209,10-20,5
233007,176,20-30,5
233008,273,10-20,6
233009,138,0-10,7
233101,126,0-10,5
233102,120,0-10,5
233103,171,0-10,5
233104,57,0-10,6
233105,81,0-10,5
233106,67,10-20,4
233107,192,0-10,5
233108,63,0-10,4
233109,85,0-10,5
233201,194,10-20,4
233202,93,0-10,4
233203,61,0-10,5
233204,146,10-20,5
233205,81,10-20,5
233206,58,10-20,4
233207,53,10-20,5
233208,60,10-20,5
233209,113,10-20,4
233301,15,0-10,4
233302,139,0-10,4
233303,55,10-20,4
233304,86,10-20,4
233305,111,10-20,4
233306,97,10-20,4
233307,127,10-20,5
233308,108,10-20,4
233309,173,10-20,4
233401,161,0-10,5
233402,261,0-10,5
233403,150,0-10,5
233404,142,10-20,5
233405,121,10-20,4
233406,324,10-20,5
233407,150,0-10,5
233408,271,0-10,5
233409,107,0-10,5
233501,89,0-10,5
233502,90,0-10,5
233503,107,10-20,5
233504,170,0-10,4
233505,161,0-10,5
233506,172,0-10,4
233507,97,0-10,5
233508,39,0-10,4
233509,242,0-10,5
233601,81,0-10,5
233602,49,0-10,5
233603,105,0-10,5
233604,59,0-10,5
233605,65,0-10,5
233606,89,0-10,5
233607,49,0-10,5
233608,32,0-10,5
233609,86,0-10,5
233701,299,0-10,5
233702,44,10-20,5
233703,161,10-20,4
233704,67,10-20,4
233705,78,0-10,4
233706,123,10-20,4
233707,165,0-10,4
233708,115,10-20,4
233709,98,10-20,4
233801,284,0-10,5
233802,100,10-20,5
233803,52,10-20,6
233804,65,10-20,5
233805,144,0-10,6
233806,72,0-10,8
233807,98,0-10,7
233808,46,0-10,8
233809,123,0-10,6
233901,63,0-10,5
233902,91,0-10,4
233903,133,0-10,4
233904,135,0-10,4
233905,159,0-10,4
233906,101,0-10,4
233907,91,0-10,5
233908,69,0-10,5
233909,131,0-10,5
234001,157,10-20,5
234002,222,10-20,5
234003,183,10-20,5
234004,216,0-10,4
234005,117,0-10,5
234006,116,0-10,5
234007,136,0-10,5
234008,90,10-20,4
234009,141,0-10,5
234101,164,0-10,4
234102,139,0-10,4
234103,67,0-10,5
234104,44,0-10,4
234105,67,0-10,4
234106,112,0-10,4
234107,72,0-10,4
234108,81,0-10,4
234109,113,0-10,4
234201,140,10-20,6
234202,131,10-20,5
234203,79,10-20,6
234204,119,30-50,7
234205,127,10-20,5
234206,72,20-30,6
234207,90,50+,6
234208,190,50+,6
234209,422,0-10,5
234301,140,0-10,5
234302,130,0-10,5
234303,119,0-10,5
234304,92,0-10,7
234305,110,0-10,5
234306,196,0-10,5
234307,54,0-10,6
234308,37,0-10,6
234309,164,0-10,6
234401,223,10-20,4
234402,123,10-20,5
234403,112,10-20,6
234404,98,20-30,5
234405,120,10-20,5
234406,84,20-30,6
234407,161,0-10,5
234408,151,10-20,5
234409,141,10-20,5
234501,111,0-10,5
234502,124,0-10,5
234503,156,0-10,5
234504,72,0-10,5
234505,128,0-10,5
234506,98,0-10,5
234507,99,0-10,5
234508,46,0-10,5
234509,170,0-10,4
234601,543,0-10,5
234602,152,0-10,4
234603,107,0-10,4
234604,219,0-10,4
234605,148,0-10,5
234606,481,10-20,4
234607,376,0-10,5
234608,146,0-10,4
234609,349,0-10,5
234701,174,10-20,4
234702,110,10-20,5
234703,95,10-20,6
234704,118,20-30,5
234705,112,0-10,5
234706,37,0-10,5
234707,97,0-10,5
234708,134,0-10,5
234709,125,0-10,5
234801,63,10-20,4
234802,298,10-20,4
234803,118,0-10,5
234804,173,0-10,5
234805,202,10-20,4
234806,91,10-20,4
234807,104,0-10,5
234808,156,0-10,5
234809,78,0-10,4
234901,184,0-10,5
234902,101,0-10,6
234903,56,0-10,6
234904,80,0-10,5
234905,135,0-10,6
234906,56,10-20,5
234907,95,10-20,5
234908,162,0-10,5
234909,92,0-10,5
235001,72,0-10,4
235002,73,0-10,5
235003,60,0-10,6
235004,214,0-10,5
235005,78,10-20,5
235006,141,10-20,5
235007,65,10-20,5
235008,94,0-10,5
235009,166,0-10,5
235101,121,20-30,5
235102,111,0-10,5
235103,90,0-10,6
235104,80,0-10,4
235105,76,10-20,5
235106,85,10-20,5
235107,84,10-20,5
235108,91,10-20,5
235109,83,0-10,4
235201,95,0-10,4
235202,140,10-20,4
235203,75,0-10,5
235204,98,0-10,5
235205,66,0-10,5
235206,46,0-10,6
235207,61,0-10,4
235208,54,0-10,4
235209,92,10-20,6
235301,137,0-10,4
235302,81,0-10,5
235303,74,0-10,5
235304,111,0-10,6
235305,41,0-10,6
235306,114,0-10,5
235307,56,0-10,5
235308,95,0-10,6
235309,64,0-10,7
235401,49,0-10,5
235402,82,0-10,5
235403,54,0-10,4
235404,81,10-20,4
235405,81,10-20,4
235406,58,0-10,5
235407,29,0-10,6
235408,48,10-20,5
235409,68,10-20,5
235501,113,10-20,4
235502,181,0-10,5
235503,227,0-10,5
235504,66,0-10,5
235505,32,10-20,5
235506,135,10-20,5
235507,82,10-20,6
235508,155,10-20,5
235509,67,0-10,4
235601,83,20-30,4
235602,104,20-30,4
235603,100,20-30,4
235604,98,20-30,4
235605,29,20-30,4
235606,79,10-20,4
235607,87,10-20,4
235608,40,0-10,5
235609,108,0-10,5
235701,154,0-10,4
235702,164,0-10,4
235703,71,0-10,5
235704,47,10-20,5
235705,152,0-10,4
235706,91,0-10,4
235707,287,10-20,4
235708,100,0-10,4
235709,89,0-10,4
235801,520,0-10,4
235802,271,0-10,5
235803,263,10-20,4
235804,316,0-10,5
235805,279,10-20,5
235806,236,10-20,5
235807,202,10-20,5
235808,314,0-10,5
235809,446,0-10,5
235901,97,0-10,5
235902,91,0-10,5
235903,104,0-10,5
235904,102,0-10,4
235905,158,0-10,5
235906,186,0-10,5
235907,120,0-10,4
235908,120,0-10,4
235909,152,0-10,5
236001,72,0-10,5
236002,68,0-10,5
236003,55,0-10,6
236004,52,0-10,5
236005,52,0-10,6
236006,154,0-10,4
236007,149,0-10,5
236008,49,0-10,5
236009,209,0-10,4
236101,57,0-10,4
236102,72,0-10,5
236103,25,0-10,4
236104,141,0-10,4
236105,162,0-10,4
236106,93,0-10,4
236107,72,0-10,4
236108,69,0-10,4
236109,113,10-20,4
236201,143,0-10,5
236202,161,0-10,4
236203,107,0-10,4
236204,130,0-10,5
236205,55,20-30,5
236206,102,10-20,5
236207,136,10-20,4
236208,166,10-20,5
236209,89,10-20,5
236301,173,0-10,5
236302,257,0-10,5
236303,77,0-10,6
236304,94,0-10,5
236305,105,10-20,5
236306,50,10-20,5
236307,127,10-20,5
236308,124,0-10,5
236309,129,10-20,5
236401,79,0-10,6
236402,121,0-10,5
236403,98,0-10,5
236404,72,0-10,5
236405,82,0-10,5
236406,130,0-10,6
236407,62,0-10,5
236408,84,0-10,5
236409,84,10-20,5
236501,66,0-10,4
236502,240,0-10,4
236503,108,0-10,4
236504,67,0-10,5
236505,67,0-10,4
236506,62,0-10,5
236507,150,0-10,5
236508,73,0-10,6
236509,113,0-10,5
236601,164,0-10,5
236602,133,0-10,4
236603,150,0-10,5
236604,142,0-10,5
236605,127,0-10,5
236606,123,0-10,4
236607,126,0-10,4
236608,194,0-10,4
236609,206,10-20,5
236701,86,0-10,5
236702,200,0-10,5
236703,130,0-10,5
236704,72,0-10,5
236705,52,10-20,5
236706,140,10-20,5
236707,154,20-30,5
236708,54,10-20,5
236709,53,10-20,5
236801,144,0-10,4
236802,139,0-10,4
236803,300,10-20,4
236804,281,10-20,5
236805,53,0-10,4
236806,65,0-10,4
236807,131,20-30,4
236808,53,0-10,5
236809,121,0-10,5
236901,117,20-30,5
236902,21,10-20,5
236903,330,10-20,5
236904,123,10-20,5
236905,109,20-30,4
236906,112,20-30,4
236907,222,10-20,5
236908,135,10-20,5
236909,147,0-10,4
237001,40,0-10,5
237002,33,10-20,5
237003,61,10-20,4
237004,66,0-10,5
237005,48,10-20,6
237006,60,0-10,4
237007,31,10-20,5
237008,75,10-20,5
237009,48,10-20,5
237101,73,10-20,4
237102,110,0-10,4
237103,92,0-10,4
237104,108,0-10,5
237105,143,0-10,5
237106,127,0-10,4
237107,54,0-10,5
237108,228,0-10,5
237109,137,0-10,6
237201,116,0-10,4
237202,88,0-10,4
237203,93,0-10,4
237204,105,0-10,4
237205,215,0-10,4
237206,90,0-10,4
237207,158,0-10,4
237208,133,0-10,4
237209,147,0-10,4
237301,89,0-10,5
237302,184,0-10,5
237303,159,0-10,4
237304,146,0-10,4
237305,67,0-10,5
237306,163,0-10,5
237307,65,0-10,5
237308,93,0-10,5
237309,12,0-10,5
237401,110,0-10,5
237402,186,0-10,5
237403,198,0-10,5
237404,155,0-10,5
237405,196,0-10,5
237406,85,0-10,5
237407,102,0-10,7
237408,87,0-10,6
237409,132,0-10,6
237501,60,30-50,6
237502,103,20-30,7
237503,46,10-20,5
237504,81,10-20,5
237505,30,10-20,6
237506,91,20-30,6
237507,210,10-20,5
237508,31,10-20,6
237509,134,0-10,6
237601,89,0-10,5
237602,145,10-20,4
237603,179,10-20,4
237604,166,20-30,4
237605,162,0-10,5
237606,56,10-20,4
237607,144,10-20,4
237608,139,0-10,4
237609,94,10-20,4
237701,204,0-10,4
237702,152,0-10,4
237703,195,10-20,5
237704,197,20-30,5
237705,157,20-30,5
237706,235,20-30,4
237707,181,10-20,5
237708,239,0-10,6
237709,175,10-20,5
237801,183,0-10,4
237802,185,0-10,4
237803,166,10-20,4
237804,183,10-20,4
237805,135,0-10,5
237806,134,0-10,5
237807,137,0-10,5
237808,122,0-10,5
